"block.name" "block.eff" "trat.name" "trat.eff" "phenotype" "plot" "rep" "rep.eff" "row.gis" "col.gis"
"1" -0.039818819872004 "11" 2.01853194428615 1.9691493818553 1 1 0 1 1
"1" -0.039818819872004 "24" 1.89994940227081 1.87115985485756 2 1 0 2 1
"1" -0.039818819872004 "1" 2.2306827079448 2.21934415764413 3 1 0 3 1
"1" -0.039818819872004 "22" 2.25420454930837 2.29238610966803 4 1 0 4 1
"1" -0.039818819872004 "8" 1.70055133241404 1.65997530059193 5 1 0 5 1
"1" -0.039818819872004 "27" 1.48751818959121 1.41451118773677 6 1 0 6 1
"1" -0.039818819872004 "2" 1.87910808951086 1.84544239159258 7 1 0 7 1
"1" -0.039818819872004 "5" 2.41878773959829 2.31339221851484 8 1 0 8 1
"1" -0.039818819872004 "7" 2.14895334892642 2.12174050086682 9 1 0 9 1
"1" -0.039818819872004 "25" 1.93265940148869 1.83670170115972 10 1 0 10 1
"2" 0.0655242507952203 "17" 2.07328721323501 2.16594877125499 11 1 0 1 2
"2" 0.0655242507952203 "31" 1.99758953218735 2.04106494810681 12 1 0 2 2
"2" 0.0655242507952203 "2" 1.87910808951086 1.99430320529781 13 1 0 3 2
"2" 0.0655242507952203 "10" 2.07394494568691 2.15559024501296 14 1 0 4 2
"2" 0.0655242507952203 "32" 2.22312000420152 2.29171004230283 15 1 0 5 2
"2" 0.0655242507952203 "29" 1.9946818420728 2.02711948282087 16 1 0 6 2
"2" 0.0655242507952203 "26" 1.97808202800701 2.04391656860131 17 1 0 7 2
"2" 0.0655242507952203 "12" 1.63569313778866 1.75775723707275 18 1 0 8 2
"2" 0.0655242507952203 "16" 2.07948682306627 2.03661501147 19 1 0 9 2
"2" 0.0655242507952203 "1" 2.2306827079448 2.27485355722333 20 1 0 10 2
"3" -0.0371930507595183 "3" 1.79596192814419 1.82158068734705 21 1 0 11 1
"3" -0.0371930507595183 "1" 2.2306827079448 2.17889089769225 22 1 0 12 1
"3" -0.0371930507595183 "13" 1.83055687893864 1.73935043060178 23 1 0 13 1
"3" -0.0371930507595183 "30" 1.69647674285689 1.67027945089009 24 1 0 14 1
"3" -0.0371930507595183 "2" 1.87910808951086 1.7940298183577 25 1 0 15 1
"3" -0.0371930507595183 "34" 1.76552126967042 1.6998433259637 26 1 0 16 1
"3" -0.0371930507595183 "23" 2.02154385232937 1.94667019002147 27 1 0 17 1
"3" -0.0371930507595183 "6" 2.19787241112362 2.2023093958212 28 1 0 18 1
"3" -0.0371930507595183 "15" 1.97692582796894 1.89377964836773 29 1 0 19 1
"3" -0.0371930507595183 "14" 1.67289751964944 1.63720447597537 30 1 0 20 1
"4" -0.318818987455661 "28" 2.20099016622658 1.81115207920555 31 1 0 11 2
"4" -0.318818987455661 "9" 1.5432062970033 1.23648304143584 32 1 0 12 2
"4" -0.318818987455661 "18" 1.9817496218189 1.66861321293996 33 1 0 13 2
"4" -0.318818987455661 "4" 2.01674937398504 1.72064655701571 34 1 0 14 2
"4" -0.318818987455661 "21" 2.12077151948369 1.81717025587721 35 1 0 15 2
"4" -0.318818987455661 "33" 1.97221706461385 1.62721360789288 36 1 0 16 2
"4" -0.318818987455661 "19" 1.89800481420795 1.60984167537742 37 1 0 17 2
"4" -0.318818987455661 "20" 2.09666893592536 1.78887309721003 38 1 0 18 2
"4" -0.318818987455661 "1" 2.2306827079448 1.88349593829224 39 1 0 19 2
"4" -0.318818987455661 "2" 1.87910808951086 1.61041881185833 40 1 0 20 2
